UID,Chemical,Time,Temperature,Na,Cu,O,Fe,Mn,Ni,P2O3ratio,Cat_Success
U00168,Na0.75Ni2/3Cu1/6Mn1/6O2,12,950,0.75,0.16666666666666666,2.0,0.0,0.16666666666666666,0.6666666666666666,0.0,Successful
U00169,Na0.75Fe2/3Ni1/6Mn1/6O2,12,950,0.75,0.0,2.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,-1.0,Unsuccessful
U00170,Na0.75Cu2/3Fe1/6Mn1/6O2,12,950,0.75,0.6666666666666666,2.0,0.16666666666666666,0.16666666666666666,0.0,1.0,Successful
U00171,Na0.75Cu2/3Ni1/6Fe1/6O2,12,950,0.75,0.6666666666666666,2.0,0.16666666666666666,0.0,0.16666666666666666,-1.0,Unsuccessful
U00172,Na0.75Cu2/3Ni1/6Mn1/6O2,12,950,0.75,0.6666666666666666,2.0,0.0,0.16666666666666666,0.16666666666666666,1.0,Successful
U00173,Na0.75Ni2/3Fe1/6Mn1/6O2,12,950,0.75,0.0,2.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,1.0,Successful
U00174,Na0.75Cu2/3Ni1/9Mn1/9Fe1/9O2,12,950,0.75,0.6666666666666666,2.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.0,Successful
U00175,Na0.75Fe2/3Cu1/9Mn1/9Ni1/9O2,12,950,0.75,0.1111111111111111,2.0,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.0,Successful
U00176,Na0.75Ni2/3Fe1/9Cu1/9Mn1/9O2,12,950,0.75,0.1111111111111111,2.0,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.6,Successful
U00177,Na0.75Mn2/3Cu1/9Fe1/9Ni1/9O2,12,950,0.75,0.1111111111111111,2.0,0.1111111111111111,0.6666666666666666,0.1111111111111111,1.0,Successful
U00178,Na0.75Mn1/9Cu8/27Fe8/27Ni8/27O2,12,950,0.75,0.2962962962962963,2.0,0.2962962962962963,0.1111111111111111,0.2962962962962963,1.0,Successful
U00179,Na0.75Ni1/9Cu8/27Fe8/27Mn8/27O2,12,950,0.75,0.2962962962962963,2.0,0.2962962962962963,0.2962962962962963,0.1111111111111111,0.82,Successful
U00180,Na0.75Fe1/9Mn8/27Cu8/27Ni8/27O2,12,950,0.75,0.2962962962962963,2.0,0.1111111111111111,0.2962962962962963,0.2962962962962963,1.0,Successful
U00181,Na0.75Cu1/9Mn8/27Fe8/27Ni8/27O2,12,950,0.75,0.1111111111111111,2.0,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.96,Successful
U00182,Na0.75Fe7/18Ni7/18Cu1/9Mn1/9O2,12,950,0.75,0.1111111111111111,2.0,0.3888888888888889,0.1111111111111111,0.3888888888888889,0.78,Successful
U00183,Na0.75Cu7/18Ni7/18Fe1/9Mn1/9O2,12,950,0.75,0.3888888888888889,2.0,0.1111111111111111,0.1111111111111111,0.3888888888888889,-1.0,Unsuccessful
U00184,Na0.75Fe7/18Mn7/18Cu1/9Ni1/9O2,12,950,0.75,0.1111111111111111,2.0,0.3888888888888889,0.3888888888888889,0.1111111111111111,0.92,Successful
U00185,Na0.75Cu7/18Fe7/18Mn1/9Ni1/9O2,12,950,0.75,0.3888888888888889,2.0,0.3888888888888889,0.1111111111111111,0.1111111111111111,0.7,Successful
U00186,Na0.75Mn7/18Ni7/18Fe1/9Cu1/9O2,12,950,0.75,0.1111111111111111,2.0,0.1111111111111111,0.3888888888888889,0.3888888888888889,1.0,Successful
U00187,Na0.75Cu7/18Mn7/18Fe1/9Ni1/9O2,12,950,0.75,0.3888888888888889,2.0,0.1111111111111111,0.3888888888888889,0.1111111111111111,1.0,Successful
U00188,Na0.5Mn2/3Cu1/6Fe1/6O2,12,950,0.5,0.16666666666666666,2.0,0.16666666666666666,0.6666666666666666,0.0,1.0,Successful
U00189,Na0.5Ni2/3Fe1/6Cu1/6O2,12,950,0.5,0.16666666666666666,2.0,0.16666666666666666,0.0,0.6666666666666666,-1.0,Unsuccessful
U00190,Na0.5Mn2/3Ni1/6Cu1/6O2,12,950,0.5,0.16666666666666666,2.0,0.0,0.6666666666666666,0.16666666666666666,1.0,Successful
U00191,Na0.5Mn2/3Fe1/6Ni1/6O2,12,950,0.5,0.0,2.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,1.0,Successful
U00192,Na0.5Fe2/3Cu1/6Mn1/6O2,12,950,0.5,0.16666666666666666,2.0,0.6666666666666666,0.16666666666666666,0.0,0.0,Successful
U00193,Na0.5Fe2/3Cu1/6Ni1/6O2,12,950,0.5,0.16666666666666666,2.0,0.6666666666666666,0.0,0.16666666666666666,-1.0,Unsuccessful
U00194,Na0.5Ni2/3Cu1/6Mn1/6O2,12,950,0.5,0.16666666666666666,2.0,0.0,0.16666666666666666,0.6666666666666666,0.0,Successful
U00195,Na0.5Fe2/3Ni1/6Mn1/6O2,12,950,0.5,0.0,2.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.29,Successful
U00196,Na0.5Cu2/3Fe1/6Mn1/6O2,12,950,0.5,0.6666666666666666,2.0,0.16666666666666666,0.16666666666666666,0.0,0.0,Successful
U00197,Na0.5Cu2/3Ni1/6Fe1/6O2,12,950,0.5,0.6666666666666666,2.0,0.16666666666666666,0.0,0.16666666666666666,-1.0,Unsuccessful
U00198,Na0.5Cu2/3Ni1/6Mn1/6O2,12,950,0.5,0.6666666666666666,2.0,0.0,0.16666666666666666,0.16666666666666666,1.0,Successful
U00199,Na0.5Ni2/3Fe1/6Mn1/6O2,12,950,0.5,0.0,2.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.69,Successful
U00200,Na0.5Cu2/3Ni1/9Mn1/9Fe1/9O2,12,950,0.5,0.6666666666666666,2.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.0,Successful
U00201,Na0.5Fe2/3Cu1/9Mn1/9Ni1/9O2,12,950,0.5,0.1111111111111111,2.0,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.0,Successful
U00202,Na0.5Ni2/3Fe1/9Cu1/9Mn1/9O2,12,950,0.5,0.1111111111111111,2.0,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.76,Successful
U00203,Na0.5Mn2/3Cu1/9Fe1/9Ni1/9O2,12,950,0.5,0.1111111111111111,2.0,0.1111111111111111,0.6666666666666666,0.1111111111111111,1.0,Successful
U00204,Na0.5Mn1/9Cu8/27Fe8/27Ni8/27O2,12,950,0.5,0.2962962962962963,2.0,0.2962962962962963,0.1111111111111111,0.2962962962962963,-1.0,Unsuccessful
U00205,Na0.5Ni1/9Cu8/27Fe8/27Mn8/27O2,12,950,0.5,0.2962962962962963,2.0,0.2962962962962963,0.2962962962962963,0.1111111111111111,1.0,Successful
U00206,Na0.5Fe1/9Mn8/27Cu8/27Ni8/27O2,12,950,0.5,0.2962962962962963,2.0,0.1111111111111111,0.2962962962962963,0.2962962962962963,1.0,Successful
U00207,Na0.5Cu1/9Mn8/27Fe8/27Ni8/27O2,12,950,0.5,0.1111111111111111,2.0,0.2962962962962963,0.2962962962962963,0.2962962962962963,1.0,Successful
U00208,Na0.5Fe7/18Ni7/18Cu1/9Mn1/9O2,12,950,0.5,0.1111111111111111,2.0,0.3888888888888889,0.1111111111111111,0.3888888888888889,0.31,Successful
U00209,Na0.5Cu7/18Ni7/18Fe1/9Mn1/9O2,12,950,0.5,0.3888888888888889,2.0,0.1111111111111111,0.1111111111111111,0.3888888888888889,-1.0,Unsuccessful
U00210,Na0.5Fe7/18Mn7/18Cu1/9Ni1/9O2,12,950,0.5,0.1111111111111111,2.0,0.3888888888888889,0.3888888888888889,0.1111111111111111,1.0,Successful
U00211,Na0.5Cu7/18Fe7/18Mn1/9Ni1/9O2,12,950,0.5,0.3888888888888889,2.0,0.3888888888888889,0.1111111111111111,0.1111111111111111,0.81,Successful
U00212,Na0.5Mn7/18Ni7/18Fe1/9Cu1/9O2,12,950,0.5,0.1111111111111111,2.0,0.1111111111111111,0.3888888888888889,0.3888888888888889,1.0,Successful
U00213,Na0.5Cu7/18Mn7/18Fe1/9Ni1/9O2,12,950,0.5,0.3888888888888889,2.0,0.1111111111111111,0.3888888888888889,0.1111111111111111,1.0,Successful
U00214,NaMn2/3Cu1/6Fe1/6O2,6,950,1.0,0.16666666666666666,2.0,0.16666666666666666,0.6666666666666666,0.0,1.0,Successful
U00215,NaNi2/3Fe1/6Cu1/6O2,6,950,1.0,0.16666666666666666,2.0,0.16666666666666666,0.0,0.6666666666666666,-1.0,Unsuccessful
U00216,NaMn2/3Ni1/6Cu1/6O2,6,950,1.0,0.16666666666666666,2.0,0.0,0.6666666666666666,0.16666666666666666,1.0,Successful
U00217,NaMn2/3Fe1/6Ni1/6O2,6,950,1.0,0.0,2.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,1.0,Successful
U00218,NaFe2/3Cu1/6Mn1/6O2,6,950,1.0,0.16666666666666666,2.0,0.6666666666666666,0.16666666666666666,0.0,0.09,Successful
U00219,NaFe2/3Cu1/6Ni1/6O2,6,950,1.0,0.16666666666666666,2.0,0.6666666666666666,0.0,0.16666666666666666,-1.0,Unsuccessful
U00220,NaNi2/3Cu1/6Mn1/6O2,6,950,1.0,0.16666666666666666,2.0,0.0,0.16666666666666666,0.6666666666666666,0.0,Successful
U00221,NaFe2/3Ni1/6Mn1/6O2,6,950,1.0,0.0,2.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,Successful
U00222,NaCu2/3Fe1/6Mn1/6O2,6,950,1.0,0.6666666666666666,2.0,0.16666666666666666,0.16666666666666666,0.0,0.86,Successful
U00223,NaCu2/3Ni1/6Fe1/6O2,6,950,1.0,0.6666666666666666,2.0,0.16666666666666666,0.0,0.16666666666666666,-1.0,Unsuccessful
U00224,NaCu2/3Ni1/6Mn1/6O2,6,950,1.0,0.6666666666666666,2.0,0.0,0.16666666666666666,0.16666666666666666,1.0,Successful
U00225,NaNi2/3Fe1/6Mn1/6O2,6,950,1.0,0.0,2.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.79,Successful
U00226,NaCu2/3Ni1/9Mn1/9Fe1/9O2,6,950,1.0,0.6666666666666666,2.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.0,Successful
U00227,NaFe2/3Cu1/9Mn1/9Ni1/9O2,6,950,1.0,0.1111111111111111,2.0,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.0,Successful
U00228,NaNi2/3Fe1/9Cu1/9Mn1/9O2,6,950,1.0,0.1111111111111111,2.0,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.26,Successful
U00229,NaMn2/3Cu1/9Fe1/9Ni1/9O2,6,950,1.0,0.1111111111111111,2.0,0.1111111111111111,0.6666666666666666,0.1111111111111111,1.0,Successful
U00230,NaMn1/9Cu8/27Fe8/27Ni8/27O2,6,950,1.0,0.2962962962962963,2.0,0.2962962962962963,0.1111111111111111,0.2962962962962963,0.89,Successful
U00231,NaNi1/9Cu8/27Fe8/27Mn8/27O2,6,950,1.0,0.2962962962962963,2.0,0.2962962962962963,0.2962962962962963,0.1111111111111111,1.0,Successful
U00232,NaFe1/9Mn8/27Cu8/27Ni8/27O2,6,950,1.0,0.2962962962962963,2.0,0.1111111111111111,0.2962962962962963,0.2962962962962963,1.0,Successful
U00233,NaCu1/9Mn8/27Fe8/27Ni8/27O2,6,950,1.0,0.1111111111111111,2.0,0.2962962962962963,0.2962962962962963,0.2962962962962963,1.0,Successful
U00234,NaFe7/18Ni7/18Cu1/9Mn1/9O2,6,950,1.0,0.1111111111111111,2.0,0.3888888888888889,0.1111111111111111,0.3888888888888889,0.32,Successful
U00235,NaCu7/18Ni7/18Fe1/9Mn1/9O2,6,950,1.0,0.3888888888888889,2.0,0.1111111111111111,0.1111111111111111,0.3888888888888889,-1.0,Unsuccessful
